core_subgraph_id,sar_frame,atom_id,candidate_role,membership_decision,boundary_distance_to_core_px,centroid_distance_to_core_px,shares_persistent_track,compatible_part_relation,background_arc_conflict,bbox_blank_ratio_if_included,decision_reason
R2C0016,39,R1A0041,endpoint_hotspot_candidate,uncertain_bbox_membership,6,75.361181,false,true,false,0.82,near_but_not_decisive_optional_response
R2C0017,40,R1A0042,side_ridge_candidate,uncertain_bbox_membership,26.832816,126.366385,false,true,false,0.512802,near_but_not_decisive_optional_response
R2C0017,40,R1A0043,background_arc_candidate,exclude_from_bbox,18,77.916389,false,false,true,0,background_arc_conflict
R2C0017,40,R1A0044,isolated_small_atom,include_in_bbox,0,62.316262,false,true,false,0,near_core_compatible_optional_response
R2C0017,40,R1A0046,endpoint_hotspot_candidate,include_in_bbox,6,68.129557,false,true,false,0.145324,near_core_compatible_optional_response
R2C0018,40,R1A0043,background_arc_candidate,exclude_from_bbox,0,84.332332,false,false,true,0.399856,background_arc_conflict
R2C0018,40,R1A0044,isolated_small_atom,include_in_bbox,0,22.210731,false,true,false,0.453936,near_core_compatible_optional_response
R2C0019,40,R1A0043,background_arc_candidate,exclude_from_bbox,30,111.312355,false,false,true,0.66954,background_arc_conflict
R2C0019,40,R1A0044,isolated_small_atom,include_in_bbox,0,53.050676,false,true,false,0.638542,near_core_compatible_optional_response
R2C0019,40,R1A0045,body_core_candidate,include_in_bbox,6,110.445436,false,true,false,0.46638,near_core_compatible_optional_response
R2C0020,46,R1A0048,unresolved_atom,include_in_bbox,0,95.8037,false,true,false,0.12496,near_core_compatible_optional_response
R2C0020,46,R1A0049,isolated_small_atom,include_in_bbox,16.970563,61.953864,false,true,false,0.074074,near_core_compatible_optional_response
R2C0021,52,R1A0050,background_arc_candidate,exclude_from_bbox,48,91.405879,false,false,true,0.266382,background_arc_conflict
R2C0021,52,R1A0051,unresolved_atom,uncertain_bbox_membership,66,99.474242,false,true,false,0.364276,near_but_not_decisive_optional_response
R2C0021,52,R1A0052,background_arc_candidate,exclude_from_bbox,24,52.885885,false,false,true,0,background_arc_conflict
