family_id,sar_frame,member_box_a,member_box_b,bbox_iou,center_distance_px,core_overlap_ratio,core_subset_relation,relation_type,pairwise_valid,invalid_reason,would_single_link_component,empty_optional_equality_seen
R21R1F00146,281,R21B00217,R21B00222,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000281_001,true
R21R1F00146,281,R21B00217,R21B00224,0.761905,15,1,a_subset_b,high_iou_boundary_variant,true,,SL000281_001,true
R21R1F00146,281,R21B00219,R21B00221,0.017007,78.917679,0,none,nested_same_core_variant,true,,SL000281_001,true
R21R1F00146,281,R21B00219,R21B00222,0.022321,82.540899,1,a_subset_b,nested_same_core_variant,true,,SL000281_001,true
R21R1F00146,281,R21B00219,R21B00224,0.017007,78.917679,1,a_subset_b,nested_same_core_variant,true,,SL000281_001,true
R21R1F00146,281,R21B00221,R21B00222,0.761905,15,0.5,overlap,high_iou_boundary_variant,true,,SL000281_001,true
R21R1F00146,281,R21B00221,R21B00224,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000281_001,true
R21R1F00146,281,R21B00222,R21B00224,0.761905,15,1,a_subset_b,high_iou_boundary_variant,true,,SL000281_001,true
R21R1F00147,281,R21B00218,R21B00223,0.38756,30.594117,1,a_subset_b,nested_same_core_variant,true,,SL000281_001,true
R21R1F00148,281,R21B00220,R21B00220,1,0,1,equal,single_member_family,true,,SL000281_002,false
R21R1F00149,284,R21B00225,R21B00230,0.761905,15,1,a_subset_b,high_iou_boundary_variant,true,,SL000284_001,true
R21R1F00150,284,R21B00226,R21B00226,1,0,1,equal,single_member_family,true,,SL000284_001,false
R21R1F00151,284,R21B00227,R21B00227,1,0,1,equal,single_member_family,true,,SL000284_002,false
R21R1F00152,284,R21B00228,R21B00228,1,0,1,equal,single_member_family,true,,SL000284_003,false
R21R1F00153,284,R21B00229,R21B00229,1,0,1,equal,single_member_family,true,,SL000284_004,false
R21R1F00154,288,R21B00231,R21B00235,0.882353,6,1,a_subset_b,high_iou_boundary_variant,true,,SL000288_001,true
R21R1F00155,288,R21B00232,R21B00232,1,0,1,equal,single_member_family,true,,SL000288_001,false
R21R1F00156,288,R21B00233,R21B00233,1,0,1,equal,single_member_family,true,,SL000288_002,false
R21R1F00157,288,R21B00234,R21B00234,1,0,1,equal,single_member_family,true,,SL000288_003,false
