edge_id,sar_frame,source_atom_id,target_atom_id,support_boundary_gap_px,centroid_distance_px,radial_delta,azimuth_delta,orientation_delta,energy_ratio,role_relation,shared_or_compatible_lineage,background_conflict,edge_status
R21GE00119,77,R21A00056,R21A00059,55.317267,121.067278,116.198891,10.420933,67.724624,9.484585,unresolved_local_response,true,false,ambiguous_relation
R21GE00120,77,R21A00056,R21A00060,48,114.489172,95.53968,22.475723,22.472288,23.899011,role_ambiguous,false,false,blocked_by_role
R21GE00121,77,R21A00057,R21A00058,6,32.793329,23.091782,7.325777,85.332008,1.270159,unresolved_local_response,true,false,accepted_local_relation
R21GE00122,77,R21A00057,R21A00059,38.418745,68.396929,63.73053,7.004152,30.655288,1.386211,unresolved_local_response,true,false,ambiguous_relation
R21GE00123,77,R21A00057,R21A00060,42,77.026229,43.07132,19.058943,14.597048,3.492938,role_ambiguous,false,false,blocked_by_role
R21GE00124,77,R21A00058,R21A00059,6,40.719337,40.638748,0.321625,54.67672,1.091368,role_ambiguous,false,false,blocked_by_role
R21GE00125,77,R21A00058,R21A00060,12,46.71382,19.979538,11.733166,80.070944,2.75,role_ambiguous,false,false,blocked_by_role
R21GE00126,77,R21A00059,R21A00060,30,51.882273,20.65921,12.05479,45.252336,2.519774,role_ambiguous,false,false,blocked_by_role
R21GE00127,78,R21A00061,R21A00062,0,71.665262,65.140984,13.017132,5.776893,2.400423,background_conflict_relation,false,true,blocked_by_background
R21GE00128,78,R21A00061,R21A00063,0,46.977373,15.984756,14.650326,2.553289,17.350974,background_conflict_relation,false,true,blocked_by_background
R21GE00129,78,R21A00061,R21A00064,6,94.924017,49.382996,21.830038,29.316406,19.290251,background_conflict_relation,false,true,blocked_by_background
R21GE00130,78,R21A00061,R21A00065,18,117.563633,24.736206,33.462637,18.482341,62.04038,background_conflict_relation,false,true,blocked_by_background
R21GE00131,78,R21A00061,R21A00066,60,121.708118,120.892097,15.278048,19.701897,66.46056,background_conflict_relation,false,true,ambiguous_relation
R21GE00132,78,R21A00061,R21A00067,6,68.340956,29.732986,21.268766,7.967163,71.493613,background_conflict_relation,false,true,blocked_by_background
R21GE00133,78,R21A00062,R21A00063,0,50.346559,49.156227,1.633194,3.223605,7.228299,body_to_side,true,false,accepted_local_relation
R21GE00134,78,R21A00062,R21A00064,55.317267,118.506727,114.523979,8.812906,35.093299,8.036189,unresolved_local_response,true,false,ambiguous_relation
R21GE00135,78,R21A00062,R21A00065,54,107.441188,89.87719,20.445505,24.259234,25.845606,role_ambiguous,false,false,blocked_by_role
R21GE00136,78,R21A00062,R21A00066,6,70.904888,55.751114,28.29518,13.925004,27.687023,role_ambiguous,false,false,blocked_by_role
R21GE00137,78,R21A00062,R21A00067,0,41.546418,35.407997,8.251635,13.744056,29.783759,role_ambiguous,false,false,blocked_by_role
R21GE00138,78,R21A00063,R21A00064,38.418745,70.184594,65.367752,7.179712,31.869694,1.111768,unresolved_local_response,true,false,ambiguous_relation
R21GE00139,78,R21A00063,R21A00065,42,74.924999,40.720963,18.812311,21.035629,3.575614,role_ambiguous,false,false,blocked_by_role
R21GE00140,78,R21A00063,R21A00066,84.852814,119.090538,104.907341,29.928374,17.148609,3.830365,role_ambiguous,false,false,blocked_by_role
R21GE00141,78,R21A00063,R21A00067,6,23.541503,13.74823,6.618441,10.520451,4.120438,role_ambiguous,false,false,blocked_by_role
R21GE00142,78,R21A00064,R21A00065,24,52.107668,24.64679,11.632599,10.834065,3.216152,role_ambiguous,false,false,blocked_by_role
R21GE00143,78,R21A00064,R21A00066,158.404545,188.795711,170.275093,37.108086,49.018303,3.445293,role_ambiguous,false,false,blocked_by_role
R21GE00144,78,R21A00064,R21A00067,55.317267,79.16181,79.115982,0.561272,21.349243,3.706204,role_ambiguous,false,false,blocked_by_role
R21GE00145,78,R21A00065,R21A00066,146.109548,176.572088,145.628304,48.740685,38.184238,1.071247,role_ambiguous,false,false,blocked_by_role
R21GE00146,78,R21A00065,R21A00067,48,67.105139,54.469193,12.193871,10.515178,1.152372,role_ambiguous,false,false,blocked_by_role
R21GE00147,78,R21A00066,R21A00067,88.588938,112.324782,91.159111,36.546815,27.66906,1.07573,role_ambiguous,false,false,blocked_by_role
R21GE00148,79,R21A00068,R21A00069,0,68.822698,59.143158,14.372214,22.613292,2.810786,background_conflict_relation,false,true,blocked_by_background
R21GE00149,79,R21A00068,R21A00070,0,97.406986,50.878647,22.246957,36.013492,21.155791,background_conflict_relation,false,true,blocked_by_background
R21GE00150,79,R21A00068,R21A00071,0,51.385444,13.894272,16.150569,1.936842,25.495085,background_conflict_relation,false,true,blocked_by_background
