independent_geometry_id,scene,sar_frame,member_sar_frames,conservative_bbox,core_bbox,member_response_unit_count,member_response_unit_ids,representative_response_unit_id,measured_once_then_mapped_to_members
GM019IG0163,GM_RM019,79,79,"1194,1187,1254,1241","1194,1187,1254,1241",1,R21B00084,R21B00084,true
GM019IG0164,GM_RM019,250,250,"1195,1135,1218,1153","1195,1135,1218,1153",1,R21B00142,R21B00142,true
GM019IG0165,GM_RM019,260,260,"1195,1201,1218,1237","1195,1201,1218,1237",1,R21B00152,R21B00152,true
GM019IG0166,GM_RM019,80,80;81,"1200,1181,1260,1241","1200,1181,1260,1241",2,R21B00093;R21B00100,R21B00093,true
GM019IG0167,GM_RM019,288,288,"1200,1192,1224,1240","1200,1192,1224,1240",1,R21B00232,R21B00232,true
GM019IG0168,GM_RM019,289,289,"1200,1210,1224,1240","1200,1210,1224,1240",1,R21B00237,R21B00237,true
GM019IG0169,GM_RM019,290,290,"1206,1192,1236,1240","1206,1192,1236,1240",1,R21B00245,R21B00245,true
GM019IG0170,GM_RM019,77,77,"1224,1169,1254,1187","1224,1169,1254,1187",1,R21B00071,R21B00071,true
GM019IG0171,GM_RM019,78,78,"1224,1175,1260,1187","1224,1175,1260,1187",1,R21B00078,R21B00078,true
GM019IG0172,GM_RM019,272,272,"1227,1144,1251,1156","1227,1144,1251,1156",1,R21B00188,R21B00188,true
GM019IG0173,GM_RM019,269,269,"1227,1192,1245,1240","1227,1192,1245,1240",1,R21B00161,R21B00161,true
GM019IG0174,GM_RM019,79,79,"1230,1175,1260,1187","1230,1175,1260,1187",1,R21B00086,R21B00086,true
GM019IG0175,GM_RM019,288,288,"1230,1228,1248,1240","1230,1228,1248,1240",1,R21B00233,R21B00233,true
GM019IG0176,GM_RM019,270,270,"1233,1192,1245,1234","1233,1192,1245,1234",1,R21B00169,R21B00169,true
GM019IG0177,GM_RM019,271,271,"1233,1198,1251,1240","1233,1198,1251,1240",1,R21B00177,R21B00177,true
GM019IG0178,GM_RM019,80,80,"1236,1175,1266,1187","1236,1175,1266,1187",1,R21B00096,R21B00096,true
GM019IG0179,GM_RM019,272,272,"1239,1198,1257,1240","1239,1198,1257,1240",1,R21B00185,R21B00185,true
GM019IG0180,GM_RM019,273,273,"1241,1194,1259,1236","1241,1194,1259,1236",1,R21B00192,R21B00192,true
GM019IG0181,GM_RM019,81,81,"1242,1175,1272,1187","1242,1175,1272,1187",1,R21B00103,R21B00103,true
GM019IG0182,GM_RM019,78,78,"1242,1193,1254,1205","1242,1193,1254,1205",1,R21B00082,R21B00082,true
GM019IG0183,GM_RM019,79,79,"1242,1199,1260,1205","1242,1199,1260,1205",1,R21B00088,R21B00088,true
GM019IG0184,GM_RM019,289,289,"1242,1228,1248,1240","1242,1228,1248,1240",1,R21B00239,R21B00239,true
GM019IG0185,GM_RM019,269,269,"1245,1138,1257,1156","1245,1138,1257,1156",1,R21B00164,R21B00164,true
GM019IG0186,GM_RM019,270,270,"1245,1162,1275,1186","1245,1162,1275,1186",1,R21B00170,R21B00170,true
GM019IG0187,GM_RM019,271,271,"1245,1174,1275,1192","1245,1174,1275,1192",1,R21B00178,R21B00178,true
GM019IG0188,GM_RM019,269,269,"1251,1174,1263,1186","1251,1174,1263,1186",1,R21B00162,R21B00162,true
GM019IG0189,GM_RM019,276,276,"1253,1194,1271,1236","1253,1194,1271,1236",1,R21B00198,R21B00198,true
GM019IG0190,GM_RM019,272,272,"1257,1138,1287,1156","1257,1138,1287,1156",1,R21B00187,R21B00187,true
GM019IG0191,GM_RM019,272,272,"1257,1168,1281,1192","1257,1168,1281,1192",1,R21B00186,R21B00186,true
GM019IG0192,GM_RM019,273,273,"1259,1140,1289,1152","1259,1140,1289,1152",1,R21B00194,R21B00194,true
GM019IG0193,GM_RM019,279,279,"1259,1140,1289,1158","1259,1140,1289,1158",1,R21B00210,R21B00210,true
